#Most keys defined in the...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
anarcho_liberal_rebels_army;$COUNTRY_ADJ$ Citizen Guard;Garde citoyenne $COUNTRY_ADJ$;$COUNTRY_ADJ$ Bürgerwache;;;;;;;;;;;
nationalist_rebels_title;Nationalist;Nationalistes;Nationalist;;Nacionalistas;;;;;;;;;
nationalist_rebels_name;$INDEP$ Nationalists;$INDEP$ - Nationalistes;$INDEP$-Nationalisten;;Nacionalistas de $INDEP$;;;;;;;;;
nationalist_rebels_desc;Nationalist rebels seek freedom for their people. They are well led and equipped, and they will focus on achieving independence for their nation.;Les rebelles nationalistes veulent la liberté pour leur peuple. Bien menés et bien équipés, ils vont tout mettre en œuvre pour obtenir l'indépendance de leur nation.;Nationalistische Rebellen kämpfen für die Freiheit ihres Volkes. Gut diszipliniert und ausgerüstet konzentrieren sich auf die Erlangung der Unabhängigkeit für ihr Land.;;Los rebeldes nacionalistas buscan la libertad de su pueblo. Están bien dirigidos y equipados, y se afanarán en lograr la independencia de su nación.;;;;;;;;;
nationalist_rebels_army;$INDEP$ Nationalists;$INDEP$ - Nationalistes;$INDEP$-Nationalisten;;Nacionalistas de $INDEP$;;;;;;;;;
pan_nationalist_rebels_title;Pan-Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;
pan_nationalist_rebels_name;$UNION_ADJ$ Pan-Nationalists;$UNION_ADJ$ - Pan-nationalistes;$UNION_ADJ$ Pan-Nationalisten;;;;;;;;;;;
pan_nationalist_rebels_desc;Pan-nationalist rebels seek to unify, in a free and independent nation-state, with their perceived cultural kin. Driven by the ideals of the romantic nationalist movement, their sense of belonging to the land for which they fight makes them determined and tenacious threats to peace and order.;;Pan-nationalistsche Rebellen wollen sich in einer freien und unabhängigen Nation mit denen zusammenschließen, die sie als kulturelle Verwandte ansehen. Sie werden von den Idealen der romantischen Nationalistenbewegung getrieben, und ihr Zugehörigkeitsinn für das Land, für welches sie kämpfen, macht sie zu entschlossenen und zähen Bedrohungen von Frieden und Ordnung.;;;;;;;;;;;
pan_nationalist_rebels_army;Young $UNION$ Brigades;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;
indian_nationalists_title;Indian Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;
indian_nationalists_name;Indian Nationalists;$UNION_ADJ$ - Pan-nationalistes;$UNION_ADJ$ Pan-Nationalisten;;;;;;;;;;;
indian_nationalists_desc;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;;;;;;;;;;;;;
indian_nationalists_army;Indian Nationalists;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;
liberal_rebels_title;Jacobin Rebels;Rebelles Jacobins;Jakobinische Rebellen;;;;;;;;;;;
liberal_rebels_name;Jacobin Rebels;Rebelles Jacobins;Jakobinische Rebellen;;;;;;;;;;;
liberal_rebels_desc;In an absolute monarchy, Jacobins will seek to impose a constitutional monarchy. Otherwise, Jacobins will strive to create a democratic government with a liberal ideology and a focus on political reform.;;;;;;;;;;;;;
liberal_rebels_army;Republican Guard;Garde républicaine;Republikanische Wache;;;;;;;;;;;
separatist_rebels_title;Patriot;;;;;;;;;;;;;
separatist_rebels_name;$CULTURE$ Patriots;;;;;;;;;;;;;
separatist_rebels_desc;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;;;;;;;;;;;;;
separatist_rebels_army;$CULTURE$ Patriots;;;;;;;;;;;;;
socialist_rebels_title;Militant Socialist;;;;;;;;;;;;;
socialist_rebels_name;Militant Socialists;;;;;;;;;;;;;
socialist_rebels_desc;In a democracy, militant conservatives will seek to enforce a socialist government. In any other country, they will seek to establish a democracy with a socialist government.;;;;;;;;;;;;;
socialist_rebels_army;Militant Socialists;;;;;;;;;;;;;
independence_rebels_title;Independence;;;;;;;;;;;;;
independence_rebels_name;Independence Rebels;;;;;;;;;;;;;
independence_rebels_desc;These rebels seek to free the country from its vassal status.;;;;;;;;;;;;;
independence_rebels_army;Independence Rebels;;;;;;;;;;;;;
turkish_nationalist_rebels_title;Turkish Nationalist;;;;;;;;;;;;;
turkish_nationalist_rebels_name;Turkish Nationalists;;;;;;;;;;;;;
turkish_nationalist_rebels_desc;Turkish Nationalists seek to topple the Ottoman monarchy, replacing it with a liberal republic.;;;;;;;;;;;;;
turkish_nationalist_rebels_army;Turkish Nationalists;;;;;;;;;;;;;
native_rebels_title;Anti-Colonial;;;;;;;;;;;;;
native_rebels_name;Anti-Colonial Rebels;;;;;;;;;;;;;
native_rebels_desc;These rebels seek to restore rulership of the country to its proper native culture.;;;;;;;;;;;;;
native_rebels_army;Anti-Colonial Rebels;;;;;;;;;;;;;
red_shirts_title;Nationalist Anjoman;Camicie rosse;Camicie Rosse;;;;;;;;;;;
red_shirts_name;Nationalist Anjoman;Chemises rouges de Garibaldi;Garibaldis Rothemden;;;;;;;;;;;
red_shirts_desc;The Nationalist Anjoman (para-military societies) were guerrilla who operated underground during the struggles to forge a nation state out of the many splintered Iranian states. These Iranian Pan-Nationalists fight for the Unification of Iran.;Le nom de Chemises rouges (Camicie rosse, en italien) a été donné aux volontaires qui ont servi sous Giuseppe Garibaldi afin de créer un État-nation réunissant les nombreux États italiens. Ce nom vient des chemises rouges que portaient Garibaldi et ses hommes. Le charismatique Garibaldi, célèbre en Italie comme à l'étranger et perçu comme un défenseur de la liberté, a contribué à asseoir l'unification italienne sous la couronne sarde. Ces pan-nationalistes italiens luttent pour l'unification de l'Italie.;Die Rothemden (Camicie rosse) waren Freiwillige, die unter Giuseppe Garibaldi dienten, als dieser darum kämpfte, die vielen italienischen Splitterstaaten zu einem Nationalstaat zu vereinen. Ihren Namen bekamen sie durch die roten Hemden, die Garibaldi und seine Männer trugen. Der charismatische und national wie international beliebte Garibaldi, der im Allgemeinen als Freiheitskämpfer angesehen wird, war maßgeblich an der italienischen Vereinigung unter der sardinischen Krone beteiligt. Diese italienischen Pan-Nationalisten kämpfen für die Vereinigung Italiens.;;;;;;;;;;;
red_shirts_army;Iranian Nationalist Uprising;Expédition des Chemises rouges des Mille;Rothemden-Expedition der Tausend;;;;;;;;;;;
#static_modifiers.txt;;;;;;;;;;;;;;
very_easy_player;Very Easy Difficulty;Niveau de difficulté : Très facile;Schwierigkeitsstufe Sehr leicht;Bardzo ³atwy;Dificultad muy fácil;Molto facile;Nagyon könnyû;Obtížnost: velmi snadná;;;;;;
easy_player;Easy Difficulty;Niveau de difficulté : Facile;Schwierigkeitsstufe Leicht;^atwy;Dificultad fácil;Facile;Könnyû;Obtížnost: snadná;;;;;;
hard_player;Hard Difficulty;Niveau de difficulté : Difficile;Schwierigkeitsstufe Schwer;Trudny;Dificultad difícil;Difficile;Nehéz;Obtížnost: tìžká;;;;;;
very_hard_player;Very Hard Difficulty;Niveau de difficulté : Très difficile;Schwierigkeitsstufe Sehr schwer;Bardzo trudny;Dificultad muy difícil;Molto difficile;Nagyon nehéz;Obtížnost: velmi tìžká;;;;;;
very_easy_ai;Very Easy Difficulty;Niveau de difficulté : Très facile;Schwierigkeitsstufe Sehr leicht;Bardzo ³atwy;Dificultad muy fácil;Molto facile;Nagyon könnyû;Obtížnost: velmi snadná;;;;;;
easy_ai;Easy Difficulty;Niveau de difficulté : Facile;Schwierigkeitsstufe Leicht;^atwy;Dificultad fácil;Facile;Könnyû;Obtížnost: snadná;;;;;;
hard_ai;Hard Difficulty;Niveau de difficulté : Difficile;Schwierigkeitsstufe Schwer;Trudny;Dificultad difícil;Difficile;Nehéz;Obtížnost: tìžká;;;;;;
very_hard_ai;Very Hard Difficulty;Niveau de difficulté : Très difficile;Schwierigkeitsstufe Sehr schwer;Bardzo trudny;Dificultad muy difícil;Molto difficile;Nagyon nehéz;Obtížnost: velmi tìžká;;;;;;
overseas;No land connection to capital;Aucune liaison terrestre vers la capitale;Übersee;Pañstwo $COUNTRY$ uwa¿a, ¿e jest to jedna z jego prowincji narodowych.;$COUNTRY$ considera que esta es una de sus principales provincias. ;$COUNTRY$ considera la presente una sua provincia nazionale.;$COUNTRY$ ezt az egyik központi tartományának tartja.;$COUNTRY$ tuto provincii pokládá za jednu ze svých hlavních.;;;;;;
coastal;Coastal;Côtière;Küste;Zamorska;Sin conexión terrestre con la capital;Oltremare;Tengerentúl;Bez pozemního spojení s hlavním mìstem;;;;;;
non_coastal;Non Coastal;Non côtière;Binnenland;Z dostêpem do morza;Costero;Costiero;Tengerparti;Pobøeží;;;;;;
coastal_sea;Coastal Sea;Mer littorale;Küstensee;Brak dostêpu do morza;No costero;Non costiero;Nem tengerparti;Vnitrozemí;;;;;;
sea_zone;Sea Zone;Zone maritime;Seezone;Tropikalna;Tropical;Tropicale;Trópusi;Tropy;;;;;;
land_province;Land Province;Province terrestre;Landprovinz;Obszar morski;Zona marítima;Zona marittima;Tengeri;Pøímoøská zóna;;;;;;
blockaded;Blockaded;Sous blocus;Blockade;Brak zapasów;Sin sums.;Scorte esaurite;Elfogyott a felszerelés;Zásoby došly;;;;;;
no_adjacent_controlled;No Adjacent Controlled;Aucune zone adjacente contrôlée;Keine Kontrolle über Nachbarprovinzen;Poddana blokadzie;Bloqueado;Bloccato;Blokád alatt;Pod blokádou;;;;;;
core;Core;Centrale;Heimatprovinz;Ludnoœæ miasta;Población de la ciudad;Popolazione cittadina;Város lakossága;Mìstská populace;;;;;;
has_siege;Under Siege;;;;;;;;;;;;;
occupied;Occupied;Occupée;Besetzt;Prowincja narodowa;Núcleo;Provincia nazionale;Mag;Støed;;;;;;
nationalism;Nationalism;Nationalisme;Nationalismus;Ryzyko buntu;Riesgo levant.;Rischio di rivolta;Lázadás esélye;Riziko revolty;;;;;;
infrastructure;Infrastructure;Infrastructure;Infrastruktur;;;;;;;;;;;
base_values;Base Value;Valeur de base;Basiswert;Samouczek;Tutorial;Tutorial;Oktatás;Úvodní èást;;;;;;
war;War;Guerre;Krieg;Nacjonalizm;Nacionalismo;Nazionalismo;Nacionalizmus;Nacionalismus;;;;;;
peace;Peace;Paix;Friede;Wojna;Guerra;Guerra;Háború;Válka;;;;;;
war_exhaustion;War Exhaustion;Épuisement de guerre;Kriegsmüdigkeit;Si³a ludzka;Rec. hum.;Manodopera;Munkaerõ;Poèetní stav obyvatelstva;;;;;;
debt_default_to;Debt Default To;;;;;;;;;;;;;
bad_debter;Bad debter;Mauvais payeur;Schlechter Schuldner;;;;;;;;;;;
bad_debter_desc;Due to your countrys history of flaky economy banks will demand a higher interest on your loans;Compte tenu des antécédents économiques de votre pays, les banques vous proposeront des emprunts aux taux d'intérêt élevés.;Aufgrund der traditionell unzuverlässigen Wirtschaft Ihres Landes werden Banken für ihre Darlehen künftig mehr Zinsen verlangen.;;;;;;;;;;;
great_power;Great Power;Grande puissance;Großmacht;;;;;;;;;;;
second_power;Civilized Nation;Nation civilisée;Zivilisierte Nation;;;;;;;;;;;
civ_nation;Westernized Nation;Nation civilisée;Zivilisierte Nation;;;;;;;;;;;
unciv_nation;Non-Western Nation;Nation non civilisée;Unzivilisierte Nation;;;;;;;;;;;
average_literacy;Literacy;Alphabétisation;Alphabetisierung;;;;;;;;;;;
plurality;Plurality;Pluralité;Pluralität;;;;;;;;;;;
generalised_debt_default;Generalized Debt Default;;;;;;;;;;;;;
total_occupation;Occupied Home Provinces;Provinces nationales occupées;Besetzte Heimatprovinzen;;Provincias nacionales ocupadas;;;;;;;;;
total_blockaded;Blockaded Home Ports;Ports nationaux sous blocus;Blockierte Heimathäfen;;Puertos nacionales bloqueados;;;;;;;;;
#triggered_modifiers.txt;;;;;;;;;;;;;;
the_british_raj;The British Raj;;;;;;;;;;;;;
the_british_raj_desc;Greatest of the jewels in our nation's crown is the British Raj.;;;;;;;;;;;;;
dutch_east_india;Dutch East India Company;;;;;;;;;;;;;
dutch_east_india_desc;Greatest of the jewels in our nation's crown is the Dutch East India colony.;;;;;;;;;;;;;
populationsize_25k;Population 25k;;;;;;;;;;;;;
populationsize_25k_desc;Our population has reached twenty-five thousand people.;;;;;;;;;;;;;
populationsize_50k;Population 50k;;;;;;;;;;;;;
populationsize_50k_desc;Our population has reached fifty thousand people.;;;;;;;;;;;;;
populationsize_100k;Population 100k;;;;;;;;;;;;;
populationsize_100k_desc;Our population has reached one hundred thousand people.;;;;;;;;;;;;;
populationsize_250k;Population 250k;;;;;;;;;;;;;
populationsize_250k_desc;Our population has reached two hundred fifty thousand people.;;;;;;;;;;;;;
populationsize_500k;Population 500k;;;;;;;;;;;;;
populationsize_500k_desc;Our population has reached five hundred thousand people.;;;;;;;;;;;;;
populationsize_1M;Population 1 Million;;;;;;;;;;;;;
populationsize_1M_desc;Our population has reached one million people.;;;;;;;;;;;;;
populationsize_2_5M;Population 2.5 Million;;;;;;;;;;;;;
populationsize_2_5M_desc;Our population has reached two and a half million people.;;;;;;;;;;;;;
populationsize_5M;Population 5 Million;;;;;;;;;;;;;
populationsize_5M_desc;Our population has reached five million people.;;;;;;;;;;;;;
populationsize_10M;Population 10 Million;;;;;;;;;;;;;
populationsize_10M_desc;Our population has reached ten million people.;;;;;;;;;;;;;
populationsize_25M;Population 25 Million;;;;;;;;;;;;;
populationsize_25M_desc;Our population has reached twenty-five million people.;;;;;;;;;;;;;
populationsize_50M;Population 50 Million;;;;;;;;;;;;;
populationsize_50M_desc;Our population has reached fifty million people.;;;;;;;;;;;;;
populationsize_100M;Population 100 Million;;;;;;;;;;;;;
populationsize_100M_desc;Our population has reached one hundred million people.;;;;;;;;;;;;;
populationsize_200M;Population 200 Million;;;;;;;;;;;;;
populationsize_200M_desc;Our population has reached two hundred million people.;;;;;;;;;;;;;
populationsize_300M;Population 300 Million;;;;;;;;;;;;;
populationsize_300M_desc;Our population has reached three hundred million people.;;;;;;;;;;;;;
grand_navy;Grand Navy;;;;;;;;;;;;;
grand_navy_desc;Our country possesses a navy which is the marvel of the entire world!;;;;;;;;;;;;;
grand_army;Grand Army;;;;;;;;;;;;;
grand_army_desc;Our country possesses an army which is the marvel of the entire world!;;;;;;;;;;;;;
city_state;City-State;;;;;;;;;;;;;
city_state_desc;With only one major city under our rule, our nation is easily overlooked.;;;;;;;;;;;;;
small_nation;Small Nation;;;;;;;;;;;;;
small_nation_desc;Our nation governs less territory than most.;;;;;;;;;;;;;
large_nation;Large Nation;;;;;;;;;;;;;
large_nation_desc;Ours is a large nation, a power to be reckoned with.;;;;;;;;;;;;;
sprawling_empire;Sprawling Empire;;;;;;;;;;;;;
sprawling_empire_desc;Ours is one of the largest nations in the world, a power to be reckoned with.;;;;;;;;;;;;;
well_drilled;Excellent Military Leadership;;;;;;;;;;;;;
well_drilled_desc;Our military organization is the envy of the world, thanks to our huge reserve of trained officers.;;;;;;;;;;;;;
drilled;Good Military Leadership;;;;;;;;;;;;;
drilled_desc;Our nation has a large cadre of trained officers, giving our military an advantage.;;;;;;;;;;;;;
poorly_drilled;Poor Military Leadership;;;;;;;;;;;;;
poorly_drilled_desc;With a shortage of trained officers, our military organization has suffered.;;;;;;;;;;;;;
undisciplined_mob;Undisciplined Mob;;;;;;;;;;;;;
undisciplined_mob_desc;With an almost complete lack of trained officers, our military has become an undisciplined and unruly mob.;;;;;;;;;;;;;
vassal_nation;Vassal Nation;;;;;;;;;;;;;
vassal_nation_desc;As a vassal nation to a foreign power, we will always be seen as a lesser country in the eyes of the rest of the world.;;;;;;;;;;;;;
DVG_badboy_1;Lack of International Code;;;;;;;;;;;;;
DVG_badboy_1_desc;Europe and the rest of the world are still embroiled in war and chaos as the Great Powers haven't agreed to create a set of rules for International Diplomacy. The Brandeburgian Peace saw the recognition of the state as a diplomatic actor but beyond that might still makes right. However if Europe was shaken to its core by a great change of power then we might see a new era of limited warfare put in place by the European powers and of course the rest of the world.;;;;;;;;;;;;;
DVG_badboy_2;Lack of International Code;;;;;;;;;;;;;
DVG_badboy_2_desc;Europe and the rest of the world are still embroiled in war and chaos as the Great Powers haven't agreed to create a set of rules for International Diplomacy. The Brandeburgian Peace saw the recognition of the state as a diplomatic actor but beyond that might still makes right. However if Europe was shaken to its core by a great change of power then we might see a new era of limited warfare put in place by the European powers and of course the rest of the world.;;;;;;;;;;;;;
powerful_HRE;Powerful Emperor;;;;;;;;;;;;;
powerful_HRE_desc;The power of the Emperor in Prague hurts our diplomatic possibilities and our international standing as long as we are under his hegemony.;;;;;;;;;;;;;
uncivmobil_0m;Population less than 1M;Population less than 1M;Population less than 1M;;;;;;;;;;x
uncivmobil_0m_desc;Our population has not yet reached 1M people.;Our population has not yet reached 1M people.;Our population has not yet reached 1M people.;;;;;;;;;;x
uncivmobil_1m;Population 1M;Population 1M;Population 1M;;;;;;;;;;x
uncivmobil_1m_desc;Our population has reached 1M people.;Our population has reached 1M people.;Our population has reached 1M people.;;;;;;;;;;x
uncivmobil_2m;Population 2M;Population 2M;Population 2M;;;;;;;;;;x
uncivmobil_2m_desc;Our population has reached 2M people.;Our population has reached 2M people.;Our population has reached 2M people.;;;;;;;;;;x
loss_of_efficiency;Lowered Tax Efficiency;Lowered Tax Efficiency;Lowered Tax Efficiency;;;;;;;;;;x
loss_of_efficiency_desc;Due to the world being so generous towards less gifted nations of the world, we decided to be a bit less greedy.;Due to the world being so generous towards less gifted nations of the world, we decided to be a bit less greedy.;Due to the world being so generous towards less gifted nations of the world, we decided to be a bit less greedy.;;;;;;;;;;x
